,05K11,05K22,936,935,basinwide_average
1945-02-01,-999.0,-999.0,-999.0,-999.0,-999.9
1945-03-01,-999.0,-999.0,-999.0,-999.0,-999.9
1945-04-01,-999.0,-999.0,-999.0,-999.0,-999.9
1945-05-01,-999.0,-999.0,-999.0,-999.0,-999.9
1945-06-01,-999.0,-999.0,-999.0,-999.0,-999.9
1945-07-01,-999.0,-999.0,-999.0,-999.0,-999.9
1945-08-01,-999.0,-999.0,-999.0,-999.0,-999.9
1945-09-01,-999.0,-999.0,-999.0,-999.0,-999.9
1945-10-01,-999.0,-999.0,-999.0,-999.0,-999.9
1945-11-01,-999.0,-999.0,-999.0,-999.0,-999.9
1945-12-01,-999.0,-999.0,-999.0,-999.0,-999.9
1946-01-01,-999.0,-999.0,-999.0,-999.0,-999.9
1946-02-01,-999.0,-999.0,-999.0,-999.0,-999.9
1946-03-01,-999.0,-999.0,-999.0,-999.0,-999.9
1946-04-01,-999.0,-999.0,-999.0,-999.0,-999.9
1946-05-01,-999.0,-999.0,-999.0,-999.0,-999.9
1946-06-01,-999.0,-999.0,-999.0,-999.0,-999.9
1946-07-01,-999.0,-999.0,-999.0,-999.0,-999.9
1946-08-01,-999.0,-999.0,-999.0,-999.0,-999.9
1946-09-01,-999.0,-999.0,-999.0,-999.0,-999.9
1946-10-01,-999.0,-999.0,-999.0,-999.0,-999.9
1946-11-01,-999.0,-999.0,-999.0,-999.0,-999.9
1946-12-01,-999.0,-999.0,-999.0,-999.0,-999.9
1947-01-01,-999.0,-999.0,-999.0,-999.0,-999.9
1947-02-01,-999.0,-999.0,-999.0,-999.0,-999.9
1947-03-01,-999.0,-999.0,-999.0,-999.0,-999.9
1947-04-01,-999.0,-999.0,-999.0,-999.0,-999.9
1947-05-01,-999.0,-999.0,-999.0,-999.0,-999.9
1947-06-01,-999.0,-999.0,-999.0,-999.0,-999.9
1947-07-01,-999.0,-999.0,-999.0,-999.0,-999.9
1947-08-01,-999.0,-999.0,-999.0,-999.0,-999.9
1947-09-01,-999.0,-999.0,-999.0,-999.0,-999.9
1947-10-01,-999.0,-999.0,-999.0,-999.0,-999.9
1947-11-01,-999.0,-999.0,-999.0,-999.0,-999.9
1947-12-01,-999.0,-999.0,-999.0,-999.0,-999.9
1948-01-01,-999.0,-999.0,-999.0,-999.0,-999.9
1948-02-01,-999.0,-999.0,-999.0,-999.0,-999.9
1948-03-01,-999.0,-999.0,-999.0,-999.0,-999.9
1948-04-01,-999.0,-999.0,-999.0,-999.0,-999.9
1948-05-01,-999.0,-999.0,-999.0,-999.0,-999.9
1948-06-01,-999.0,-999.0,-999.0,-999.0,-999.9
1948-07-01,-999.0,-999.0,-999.0,-999.0,-999.9
1948-08-01,-999.0,-999.0,-999.0,-999.0,-999.9
1948-09-01,-999.0,-999.0,-999.0,-999.0,-999.9
1948-10-01,-999.0,-999.0,-999.0,-999.0,-999.9
1948-11-01,-999.0,-999.0,-999.0,-999.0,-999.9
1948-12-01,-999.0,-999.0,-999.0,-999.0,-999.9
1949-01-01,-999.0,-999.0,-999.0,-999.0,-999.9
1949-02-01,-999.0,-999.0,-999.0,-999.0,-999.9
1949-03-01,4.5,-999.0,-999.0,-999.0,1.1348511383537654
1949-04-01,4.5,-999.0,-999.0,-999.0,1.1348511383537654
1949-05-01,4.5,-999.0,-999.0,-999.0,1.1348511383537654
1949-06-01,4.5,-999.0,-999.0,-999.0,1.1348511383537654
1949-07-01,4.5,-999.0,-999.0,-999.0,1.1348511383537654
1949-08-01,4.5,-999.0,-999.0,-999.0,1.1348511383537654
1949-09-01,4.5,-999.0,-999.0,-999.0,1.1348511383537654
1949-10-01,0.0,-999.0,-999.0,-999.0,0.0
1949-11-01,0.0,-999.0,-999.0,-999.0,0.0
1949-12-01,0.0,-999.0,-999.0,-999.0,0.0
1950-01-01,0.0,-999.0,-999.0,-999.0,0.0
1950-02-01,2.6,-999.0,-999.0,-999.0,0.6556917688266201
1950-03-01,3.7,-999.0,-999.0,-999.0,0.9330998248686515
1950-04-01,4.1,-999.0,-999.0,-999.0,1.0339754816112083
1950-05-01,4.1,-999.0,-999.0,-999.0,1.0339754816112083
1950-06-01,4.1,-999.0,-999.0,-999.0,1.0339754816112083
1950-07-01,4.1,-999.0,-999.0,-999.0,1.0339754816112083
1950-08-01,4.1,-999.0,-999.0,-999.0,1.0339754816112083
1950-09-01,4.1,-999.0,-999.0,-999.0,1.0339754816112083
1950-10-01,0.0,-999.0,-999.0,-999.0,0.0
1950-11-01,0.0,-999.0,-999.0,-999.0,0.0
1950-12-01,0.0,-999.0,-999.0,-999.0,0.0
1951-01-01,0.0,-999.0,-999.0,-999.0,0.0
1951-02-01,4.1,-999.0,-999.0,-999.0,1.0339754816112083
1951-03-01,7.2,-999.0,-999.0,-999.0,1.8157618213660247
1951-04-01,7.2,-999.0,-999.0,-999.0,1.8157618213660247
1951-05-01,7.2,-999.0,-999.0,-999.0,1.8157618213660247
1951-06-01,7.2,-999.0,-999.0,-999.0,1.8157618213660247
1951-07-01,7.2,-999.0,-999.0,-999.0,1.8157618213660247
1951-08-01,7.2,-999.0,-999.0,-999.0,1.8157618213660247
1951-09-01,7.2,-999.0,-999.0,-999.0,1.8157618213660247
1951-10-01,0.0,-999.0,-999.0,-999.0,0.0
1951-11-01,0.0,-999.0,-999.0,-999.0,0.0
1951-12-01,0.0,-999.0,-999.0,-999.0,0.0
1952-01-01,0.0,-999.0,-999.0,-999.0,0.0
1952-02-01,7.4,-999.0,-999.0,-999.0,1.866199649737303
1952-03-01,7.4,-999.0,-999.0,-999.0,1.866199649737303
1952-04-01,7.7,-999.0,-999.0,-999.0,1.9418563922942207
1952-05-01,7.7,-999.0,-999.0,-999.0,1.9418563922942207
1952-06-01,7.7,-999.0,-999.0,-999.0,1.9418563922942207
1952-07-01,7.7,-999.0,-999.0,-999.0,1.9418563922942207
1952-08-01,7.7,-999.0,-999.0,-999.0,1.9418563922942207
1952-09-01,7.7,-999.0,-999.0,-999.0,1.9418563922942207
1952-10-01,0.0,-999.0,-999.0,-999.0,0.0
1952-11-01,0.0,-999.0,-999.0,-999.0,0.0
1952-12-01,0.0,-999.0,-999.0,-999.0,0.0
1953-01-01,0.0,-999.0,-999.0,-999.0,0.0
1953-02-01,2.6,-999.0,-999.0,-999.0,0.6556917688266201
1953-03-01,2.8,-999.0,-999.0,-999.0,0.7061295971978984
1953-04-01,3.0,-999.0,-999.0,-999.0,0.7565674255691769
1953-05-01,3.0,-999.0,-999.0,-999.0,0.7565674255691769
1953-06-01,3.0,-999.0,-999.0,-999.0,0.7565674255691769
1953-07-01,3.0,-999.0,-999.0,-999.0,0.7565674255691769
1953-08-01,3.0,-999.0,-999.0,-999.0,0.7565674255691769
1953-09-01,3.0,-999.0,-999.0,-999.0,0.7565674255691769
1953-10-01,0.0,-999.0,-999.0,-999.0,0.0
1953-11-01,0.0,-999.0,-999.0,-999.0,0.0
1953-12-01,0.0,-999.0,-999.0,-999.0,0.0
1954-01-01,0.0,-999.0,-999.0,-999.0,0.0
1954-02-01,3.1,-999.0,-999.0,-999.0,0.7817863397548162
1954-03-01,3.1,-999.0,-999.0,-999.0,0.7817863397548162
1954-04-01,3.1,-999.0,-999.0,-999.0,0.7817863397548162
1954-05-01,3.1,-999.0,-999.0,-999.0,0.7817863397548162
1954-06-01,3.1,-999.0,-999.0,-999.0,0.7817863397548162
1954-07-01,3.1,-999.0,-999.0,-999.0,0.7817863397548162
1954-08-01,3.1,-999.0,-999.0,-999.0,0.7817863397548162
1954-09-01,3.1,-999.0,-999.0,-999.0,0.7817863397548162
1954-10-01,0.0,-999.0,-999.0,-999.0,0.0
1954-11-01,0.0,-999.0,-999.0,-999.0,0.0
1954-12-01,0.0,-999.0,-999.0,-999.0,0.0
1955-01-01,0.0,-999.0,-999.0,-999.0,0.0
1955-02-01,2.9,-999.0,-999.0,-999.0,0.7313485113835376
1955-03-01,3.1,-999.0,-999.0,-999.0,0.7817863397548162
1955-04-01,4.9,-999.0,-999.0,-999.0,1.2357267950963224
1955-05-01,4.9,-999.0,-999.0,-999.0,1.2357267950963224
1955-06-01,4.9,-999.0,-999.0,-999.0,1.2357267950963224
1955-07-01,4.9,-999.0,-999.0,-999.0,1.2357267950963224
1955-08-01,4.9,-999.0,-999.0,-999.0,1.2357267950963224
1955-09-01,4.9,-999.0,-999.0,-999.0,1.2357267950963224
1955-10-01,0.0,-999.0,-999.0,-999.0,0.0
1955-11-01,0.0,-999.0,-999.0,-999.0,0.0
1955-12-01,0.0,-999.0,-999.0,-999.0,0.0
1956-01-01,0.0,-999.0,-999.0,-999.0,0.0
1956-02-01,2.9,-999.0,-999.0,-999.0,0.7313485113835376
1956-03-01,4.0,-999.0,-999.0,-999.0,1.0087565674255692
1956-04-01,4.2,-999.0,-999.0,-999.0,1.0591943957968477
1956-05-01,4.2,-999.0,-999.0,-999.0,1.0591943957968477
1956-06-01,4.2,-999.0,-999.0,-999.0,1.0591943957968477
1956-07-01,4.2,-999.0,-999.0,-999.0,1.0591943957968477
1956-08-01,4.2,-999.0,-999.0,-999.0,1.0591943957968477
1956-09-01,4.2,-999.0,-999.0,-999.0,1.0591943957968477
1956-10-01,0.0,-999.0,-999.0,-999.0,0.0
1956-11-01,0.0,-999.0,-999.0,-999.0,0.0
1956-12-01,0.0,-999.0,-999.0,-999.0,0.0
1957-01-01,0.0,-999.0,-999.0,-999.0,0.0
1957-02-01,3.9,-999.0,-999.0,-999.0,0.9835376532399299
1957-03-01,3.9,-999.0,-999.0,-999.0,0.9835376532399299
1957-04-01,4.1,-999.0,-999.0,-999.0,1.0339754816112083
1957-05-01,6.4,-999.0,-999.0,-999.0,1.6140105078809108
1957-06-01,6.4,-999.0,-999.0,-999.0,1.6140105078809108
1957-07-01,6.4,-999.0,-999.0,-999.0,1.6140105078809108
1957-08-01,6.4,-999.0,-999.0,-999.0,1.6140105078809108
1957-09-01,6.4,-999.0,-999.0,-999.0,1.6140105078809108
1957-10-01,0.0,-999.0,-999.0,-999.0,0.0
1957-11-01,0.0,-999.0,-999.0,-999.0,0.0
1957-12-01,0.0,-999.0,-999.0,-999.0,0.0
1958-01-01,0.0,-999.0,-999.0,-999.0,0.0
1958-02-01,0.0,-999.0,-999.0,-999.0,0.0
1958-03-01,1.8,-999.0,-999.0,-999.0,0.4539404553415062
1958-04-01,3.2,-999.0,-999.0,-999.0,0.8070052539404554
1958-05-01,3.2,-999.0,-999.0,-999.0,0.8070052539404554
1958-06-01,3.2,-999.0,-999.0,-999.0,0.8070052539404554
1958-07-01,3.2,-999.0,-999.0,-999.0,0.8070052539404554
1958-08-01,3.2,-999.0,-999.0,-999.0,0.8070052539404554
1958-09-01,3.2,-999.0,-999.0,-999.0,0.8070052539404554
1958-10-01,0.0,-999.0,-999.0,-999.0,0.0
1958-11-01,0.0,-999.0,-999.0,-999.0,0.0
1958-12-01,0.0,-999.0,-999.0,-999.0,0.0
1959-01-01,0.0,-999.0,-999.0,-999.0,0.0
1959-02-01,3.0,-999.0,-999.0,-999.0,0.7565674255691769
1959-03-01,4.4,-999.0,-999.0,-999.0,1.1096322241681262
1959-04-01,5.6,-999.0,-999.0,-999.0,1.4122591943957967
1959-05-01,5.6,-999.0,-999.0,-999.0,1.4122591943957967
1959-06-01,5.6,-999.0,-999.0,-999.0,1.4122591943957967
1959-07-01,5.6,-999.0,-999.0,-999.0,1.4122591943957967
1959-08-01,5.6,-999.0,-999.0,-999.0,1.4122591943957967
1959-09-01,5.6,-999.0,-999.0,-999.0,1.4122591943957967
1959-10-01,0.0,-999.0,-999.0,-999.0,0.0
1959-11-01,0.0,-999.0,-999.0,-999.0,0.0
1959-12-01,0.0,-999.0,-999.0,-999.0,0.0
1960-01-01,0.0,-999.0,-999.0,-999.0,0.0
1960-02-01,1.5,-999.0,-999.0,-999.0,0.37828371278458844
1960-03-01,3.4,-999.0,-999.0,-999.0,0.8574430823117338
1960-04-01,3.4,-999.0,-999.0,-999.0,0.8574430823117338
1960-05-01,3.4,-999.0,-999.0,-999.0,0.8574430823117338
1960-06-01,3.4,-999.0,-999.0,-999.0,0.8574430823117338
1960-07-01,3.4,-999.0,-999.0,-999.0,0.8574430823117338
1960-08-01,3.4,-999.0,-999.0,-999.0,0.8574430823117338
1960-09-01,3.4,-999.0,-999.0,-999.0,0.8574430823117338
1960-10-01,0.0,-999.0,-999.0,-999.0,0.0
1960-11-01,0.0,-999.0,-999.0,-999.0,0.0
1960-12-01,0.0,-999.0,-999.0,-999.0,0.0
1961-01-01,0.0,-999.0,-999.0,-999.0,0.0
1961-02-01,0.0,-999.0,-999.0,-999.0,0.0
1961-03-01,1.4,-999.0,-999.0,-999.0,0.3530647985989492
1961-04-01,2.6,-999.0,-999.0,-999.0,0.6556917688266201
1961-05-01,2.6,-999.0,-999.0,-999.0,0.6556917688266201
1961-06-01,2.6,-999.0,-999.0,-999.0,0.6556917688266201
1961-07-01,2.6,-999.0,-999.0,-999.0,0.6556917688266201
1961-08-01,2.6,-999.0,-999.0,-999.0,0.6556917688266201
1961-09-01,2.6,-999.0,-999.0,-999.0,0.6556917688266201
1961-10-01,0.0,-999.0,-999.0,-999.0,0.0
1961-11-01,0.0,-999.0,-999.0,-999.0,0.0
1961-12-01,0.0,-999.0,-999.0,-999.0,0.0
1962-01-01,0.0,-999.0,-999.0,-999.0,0.0
1962-02-01,0.0,-999.0,-999.0,-999.0,0.0
1962-03-01,4.3,-999.0,-999.0,-999.0,1.0844133099824869
1962-04-01,4.3,-999.0,-999.0,-999.0,1.0844133099824869
1962-05-01,4.3,-999.0,-999.0,-999.0,1.0844133099824869
1962-06-01,4.3,-999.0,-999.0,-999.0,1.0844133099824869
1962-07-01,4.3,-999.0,-999.0,-999.0,1.0844133099824869
1962-08-01,4.3,-999.0,-999.0,-999.0,1.0844133099824869
1962-09-01,4.3,-999.0,-999.0,-999.0,1.0844133099824869
1962-10-01,0.0,-999.0,-999.0,-999.0,0.0
1962-11-01,0.0,-999.0,-999.0,-999.0,0.0
1962-12-01,0.0,-999.0,-999.0,-999.0,0.0
1963-01-01,0.0,-999.0,-999.0,-999.0,0.0
1963-02-01,0.0,-999.0,-999.0,-999.0,0.0
1963-03-01,2.6,-999.0,-999.0,-999.0,0.6556917688266201
1963-04-01,2.6,-999.0,-999.0,-999.0,0.6556917688266201
1963-05-01,2.6,-999.0,-999.0,-999.0,0.6556917688266201
1963-06-01,2.6,-999.0,-999.0,-999.0,0.6556917688266201
1963-07-01,2.6,-999.0,-999.0,-999.0,0.6556917688266201
1963-08-01,2.6,-999.0,-999.0,-999.0,0.6556917688266201
1963-09-01,2.6,-999.0,-999.0,-999.0,0.6556917688266201
1963-10-01,0.0,-999.0,-999.0,-999.0,0.0
1963-11-01,0.0,-999.0,-999.0,-999.0,0.0
1963-12-01,0.0,-999.0,-999.0,-999.0,0.0
1964-01-01,0.0,-999.0,-999.0,-999.0,0.0
1964-02-01,0.0,-999.0,-999.0,-999.0,0.0
1964-03-01,1.8,-999.0,-999.0,-999.0,0.4539404553415062
1964-04-01,3.8,-999.0,-999.0,-999.0,0.9583187390542907
1964-05-01,3.8,-999.0,-999.0,-999.0,0.9583187390542907
1964-06-01,3.8,-999.0,-999.0,-999.0,0.9583187390542907
1964-07-01,3.8,-999.0,-999.0,-999.0,0.9583187390542907
1964-08-01,3.8,-999.0,-999.0,-999.0,0.9583187390542907
1964-09-01,3.8,-999.0,-999.0,-999.0,0.9583187390542907
1964-10-01,0.0,-999.0,-999.0,-999.0,0.0
1964-11-01,0.0,-999.0,-999.0,-999.0,0.0
1964-12-01,0.0,-999.0,-999.0,-999.0,0.0
1965-01-01,0.0,-999.0,-999.0,-999.0,0.0
1965-02-01,0.0,-999.0,-999.0,-999.0,0.0
1965-03-01,6.1,-999.0,-999.0,-999.0,1.538353765323993
1965-04-01,7.3,-999.0,-999.0,-999.0,1.8409807355516636
1965-05-01,7.3,-999.0,-999.0,-999.0,1.8409807355516636
1965-06-01,7.3,-999.0,-999.0,-999.0,1.8409807355516636
1965-07-01,7.3,-999.0,-999.0,-999.0,1.8409807355516636
1965-08-01,7.3,-999.0,-999.0,-999.0,1.8409807355516636
1965-09-01,7.3,-999.0,-999.0,-999.0,1.8409807355516636
1965-10-01,0.0,-999.0,-999.0,-999.0,0.0
1965-11-01,0.0,-999.0,-999.0,-999.0,0.0
1965-12-01,0.0,-999.0,-999.0,-999.0,0.0
1966-01-01,0.0,-999.0,-999.0,-999.0,0.0
1966-02-01,1.7,-999.0,-999.0,-999.0,0.4287215411558669
1966-03-01,2.5,-999.0,-999.0,-999.0,0.6304728546409808
1966-04-01,2.5,-999.0,-999.0,-999.0,0.6304728546409808
1966-05-01,2.5,-999.0,-999.0,-999.0,0.6304728546409808
1966-06-01,2.5,-999.0,-999.0,-999.0,0.6304728546409808
1966-07-01,2.5,-999.0,-999.0,-999.0,0.6304728546409808
1966-08-01,2.5,-999.0,-999.0,-999.0,0.6304728546409808
1966-09-01,2.5,-999.0,-999.0,-999.0,0.6304728546409808
1966-10-01,0.0,-999.0,-999.0,-999.0,0.0
1966-11-01,0.0,-999.0,-999.0,-999.0,0.0
1966-12-01,0.0,-999.0,-999.0,-999.0,0.0
1967-01-01,0.0,-999.0,-999.0,-999.0,0.0
1967-02-01,2.6,-999.0,-999.0,-999.0,0.6556917688266201
1967-03-01,3.8,-999.0,-999.0,-999.0,0.9583187390542907
1967-04-01,4.5,-999.0,-999.0,-999.0,1.1348511383537654
1967-05-01,4.5,-999.0,-999.0,-999.0,1.1348511383537654
1967-06-01,4.5,-999.0,-999.0,-999.0,1.1348511383537654
1967-07-01,4.5,-999.0,-999.0,-999.0,1.1348511383537654
1967-08-01,4.5,-999.0,-999.0,-999.0,1.1348511383537654
1967-09-01,4.5,-999.0,-999.0,-999.0,1.1348511383537654
1967-10-01,0.0,-999.0,-999.0,-999.0,0.0
1967-11-01,0.0,-999.0,-999.0,-999.0,0.0
1967-12-01,0.0,-999.0,-999.0,-999.0,0.0
1968-01-01,0.0,-999.0,-999.0,-999.0,0.0
1968-02-01,2.4,-999.0,-999.0,-999.0,0.6052539404553415
1968-03-01,3.1,-999.0,-999.0,-999.0,0.7817863397548162
1968-04-01,3.5,-999.0,-999.0,-999.0,0.8826619964973731
1968-05-01,3.5,-999.0,-999.0,-999.0,0.8826619964973731
1968-06-01,3.5,-999.0,-999.0,-999.0,0.8826619964973731
1968-07-01,3.5,-999.0,-999.0,-999.0,0.8826619964973731
1968-08-01,3.5,-999.0,-999.0,-999.0,0.8826619964973731
1968-09-01,3.5,-999.0,-999.0,-999.0,0.8826619964973731
1968-10-01,0.0,-999.0,-999.0,-999.0,0.0
1968-11-01,0.0,-999.0,-999.0,-999.0,0.0
1968-12-01,0.0,-999.0,-999.0,-999.0,0.0
1969-01-01,0.0,-999.0,-999.0,-999.0,0.0
1969-02-01,2.6,-999.0,-999.0,-999.0,0.6556917688266201
1969-03-01,2.6,-999.0,-999.0,-999.0,0.6556917688266201
1969-04-01,3.0,-999.0,-999.0,-999.0,0.7565674255691769
1969-05-01,3.0,-999.0,-999.0,-999.0,0.7565674255691769
1969-06-01,3.0,-999.0,-999.0,-999.0,0.7565674255691769
1969-07-01,3.0,-999.0,-999.0,-999.0,0.7565674255691769
1969-08-01,3.0,-999.0,-999.0,-999.0,0.7565674255691769
1969-09-01,3.0,-999.0,-999.0,-999.0,0.7565674255691769
1969-10-01,0.0,-999.0,-999.0,-999.0,0.0
1969-11-01,0.0,-999.0,-999.0,-999.0,0.0
1969-12-01,0.0,-999.0,-999.0,-999.0,0.0
1970-01-01,0.0,-999.0,-999.0,-999.0,0.0
1970-02-01,5.9,-999.0,-999.0,-999.0,1.4879159369527146
1970-03-01,6.0,-999.0,-999.0,-999.0,1.5131348511383538
1970-04-01,7.8,-999.0,-999.0,-999.0,1.9670753064798598
1970-05-01,8.0,-999.0,-999.0,-999.0,2.0175131348511384
1970-06-01,8.0,-999.0,-999.0,-999.0,2.0175131348511384
1970-07-01,8.0,-999.0,-999.0,-999.0,2.0175131348511384
1970-08-01,8.0,-999.0,-999.0,-999.0,2.0175131348511384
1970-09-01,8.0,-999.0,-999.0,-999.0,2.0175131348511384
1970-10-01,0.0,-999.0,-999.0,-999.0,0.0
1970-11-01,0.0,-999.0,-999.0,-999.0,0.0
1970-12-01,0.0,-999.0,-999.0,-999.0,0.0
1971-01-01,0.0,-999.0,-999.0,-999.0,0.0
1971-02-01,1.1,-999.0,-999.0,-999.0,0.27740805604203156
1971-03-01,1.8,-999.0,-999.0,-999.0,0.4539404553415062
1971-04-01,2.7,-999.0,-999.0,-999.0,0.6809106830122592
1971-05-01,2.7,-999.0,-999.0,-999.0,0.6809106830122592
1971-06-01,2.7,-999.0,-999.0,-999.0,0.6809106830122592
1971-07-01,2.7,-999.0,-999.0,-999.0,0.6809106830122592
1971-08-01,2.7,-999.0,-999.0,-999.0,0.6809106830122592
1971-09-01,2.7,-999.0,-999.0,-999.0,0.6809106830122592
1971-10-01,0.0,-999.0,-999.0,-999.0,0.0
1971-11-01,0.0,-999.0,-999.0,-999.0,0.0
1971-12-01,0.0,-999.0,-999.0,-999.0,0.0
1972-01-01,0.0,-999.0,-999.0,-999.0,0.0
1972-02-01,3.0,-999.0,-999.0,-999.0,0.7565674255691769
1972-03-01,3.5,-999.0,-999.0,-999.0,0.8826619964973731
1972-04-01,4.8,-999.0,-999.0,-999.0,1.210507880910683
1972-05-01,4.8,-999.0,-999.0,-999.0,1.210507880910683
1972-06-01,4.8,-999.0,-999.0,-999.0,1.210507880910683
1972-07-01,4.8,-999.0,-999.0,-999.0,1.210507880910683
1972-08-01,4.8,-999.0,-999.0,-999.0,1.210507880910683
1972-09-01,4.8,-999.0,-999.0,-999.0,1.210507880910683
1972-10-01,0.0,-999.0,-999.0,-999.0,0.0
1972-11-01,0.0,-999.0,-999.0,-999.0,0.0
1972-12-01,0.0,-999.0,-999.0,-999.0,0.0
1973-01-01,0.0,-999.0,-999.0,-999.0,0.0
1973-02-01,3.5,-999.0,-999.0,-999.0,0.8826619964973731
1973-03-01,3.9,-999.0,-999.0,-999.0,0.9835376532399299
1973-04-01,3.9,-999.0,-999.0,-999.0,0.9835376532399299
1973-05-01,3.9,-999.0,-999.0,-999.0,0.9835376532399299
1973-06-01,3.9,-999.0,-999.0,-999.0,0.9835376532399299
1973-07-01,3.9,-999.0,-999.0,-999.0,0.9835376532399299
1973-08-01,3.9,-999.0,-999.0,-999.0,0.9835376532399299
1973-09-01,3.9,-999.0,-999.0,-999.0,0.9835376532399299
1973-10-01,0.0,-999.0,-999.0,-999.0,0.0
1973-11-01,0.0,-999.0,-999.0,-999.0,0.0
1973-12-01,0.0,-999.0,-999.0,-999.0,0.0
1974-01-01,0.0,-999.0,-999.0,-999.0,0.0
1974-02-01,2.3,-999.0,-999.0,-999.0,0.5800350262697023
1974-03-01,2.8,-999.0,-999.0,-999.0,0.7061295971978984
1974-04-01,3.1,-999.0,-999.0,-999.0,0.7817863397548162
1974-05-01,3.1,-999.0,-999.0,-999.0,0.7817863397548162
1974-06-01,3.1,-999.0,-999.0,-999.0,0.7817863397548162
1974-07-01,3.1,-999.0,-999.0,-999.0,0.7817863397548162
1974-08-01,3.1,-999.0,-999.0,-999.0,0.7817863397548162
1974-09-01,3.1,-999.0,-999.0,-999.0,0.7817863397548162
1974-10-01,0.0,-999.0,-999.0,-999.0,0.0
1974-11-01,0.0,-999.0,-999.0,-999.0,0.0
1974-12-01,0.0,-999.0,-999.0,-999.0,0.0
1975-01-01,0.0,-999.0,-999.0,-999.0,0.0
1975-02-01,2.8,-999.0,-999.0,-999.0,0.7061295971978984
1975-03-01,4.2,-999.0,-999.0,-999.0,1.0591943957968477
1975-04-01,5.0,-999.0,-999.0,-999.0,1.2609457092819616
1975-05-01,5.0,-999.0,-999.0,-999.0,1.2609457092819616
1975-06-01,5.0,-999.0,-999.0,-999.0,1.2609457092819616
1975-07-01,5.0,-999.0,-999.0,-999.0,1.2609457092819616
1975-08-01,5.0,-999.0,-999.0,-999.0,1.2609457092819616
1975-09-01,5.0,-999.0,-999.0,-999.0,1.2609457092819616
1975-10-01,0.0,-999.0,-999.0,-999.0,0.0
1975-11-01,0.0,-999.0,-999.0,-999.0,0.0
1975-12-01,0.0,-999.0,-999.0,-999.0,0.0
1976-01-01,0.0,-999.0,-999.0,-999.0,0.0
1976-02-01,4.1,-999.0,-999.0,-999.0,1.0339754816112083
1976-03-01,4.1,-999.0,-999.0,-999.0,1.0339754816112083
1976-04-01,4.1,-999.0,-999.0,-999.0,1.0339754816112083
1976-05-01,4.1,-999.0,-999.0,-999.0,1.0339754816112083
1976-06-01,4.1,-999.0,-999.0,-999.0,1.0339754816112083
1976-07-01,4.1,-999.0,-999.0,-999.0,1.0339754816112083
1976-08-01,4.1,-999.0,-999.0,-999.0,1.0339754816112083
1976-09-01,4.1,-999.0,-999.0,-999.0,1.0339754816112083
1976-10-01,0.0,-999.0,-999.0,-999.0,0.0
1976-11-01,0.0,-999.0,-999.0,-999.0,0.0
1976-12-01,0.0,-999.0,-999.0,-999.0,0.0
1977-01-01,0.0,-999.0,-999.0,-999.0,0.0
1977-02-01,0.1,-999.0,-999.0,-999.0,0.02521891418563923
1977-03-01,0.5,-999.0,-999.0,-999.0,0.12609457092819615
1977-04-01,0.5,-999.0,-999.0,-999.0,0.12609457092819615
1977-05-01,0.5,-999.0,-999.0,-999.0,0.12609457092819615
1977-06-01,0.5,-999.0,-999.0,-999.0,0.12609457092819615
1977-07-01,0.5,-999.0,-999.0,-999.0,0.12609457092819615
1977-08-01,0.5,-999.0,-999.0,-999.0,0.12609457092819615
1977-09-01,0.5,-999.0,-999.0,-999.0,0.12609457092819615
1977-10-01,0.0,-999.0,-999.0,-999.0,0.0
1977-11-01,0.0,-999.0,-999.0,-999.0,0.0
1977-12-01,0.0,-999.0,-999.0,-999.0,0.0
1978-01-01,0.0,-999.0,-999.0,-999.0,0.0
1978-02-01,2.8,-999.0,-999.0,-999.0,0.7061295971978984
1978-03-01,2.8,-999.0,-999.0,-999.0,0.7061295971978984
1978-04-01,3.1,-999.0,-999.0,-999.0,0.7817863397548162
1978-05-01,3.1,-999.0,-999.0,-999.0,0.7817863397548162
1978-06-01,3.1,-999.0,-999.0,-999.0,0.7817863397548162
1978-07-01,3.1,-999.0,-999.0,-999.0,0.7817863397548162
1978-08-01,3.1,-999.0,-999.0,-999.0,0.7817863397548162
1978-09-01,3.1,-999.0,-999.0,-999.0,0.7817863397548162
1978-10-01,0.0,-999.0,-999.0,-999.0,0.0
1978-11-01,0.0,-999.0,-999.0,-999.0,0.0
1978-12-01,0.0,-999.0,-999.0,-999.0,0.0
1979-01-01,0.0,-999.0,-999.0,-999.0,0.0
1979-02-01,3.4,-999.0,-999.0,-999.0,0.8574430823117338
1979-03-01,4.3,8.2,-999.0,-999.0,0.9531851752776396
1979-04-01,5.9,12.0,-999.0,-999.0,1.3453899493832786
1979-05-01,5.9,12.0,-999.0,-999.0,1.3453899493832786
1979-06-01,5.9,12.0,-999.0,-999.0,1.3453899493832786
1979-07-01,5.9,12.0,-999.0,-999.0,1.3453899493832786
1979-08-01,5.9,12.0,-999.0,-999.0,1.3453899493832786
1979-09-01,5.9,12.0,-999.0,-999.0,1.3453899493832786
1979-10-01,0.0,0.0,-999.0,-999.0,0.0
1979-11-01,0.0,0.0,-999.0,-999.0,0.0
1979-12-01,0.0,0.0,-999.0,-999.0,0.0
1980-01-01,0.0,0.0,-999.0,-999.0,0.0
1980-02-01,4.1,10.0,-999.0,-999.0,1.0181810582280386
1980-03-01,4.1,10.0,-999.0,-999.0,1.0181810582280386
